// Estos son todos las Popups que contiene el juego

[GjDropDownLayer]

"Account", "Cuenta"
"How To Play", "Como Jugar"
"Options", "Opciones"
"Graphics", "Graficos"
"Rate", "Valorar"
"Songs", "Canciones"
"Help", "Ayuda"
"Music", "Musica"
"SFX", "Efectos"
"Menu\Music", "Musica\del Menu"

///Account Popup
"Save", "Guardar"
"Load", "Cargar"
"More", "Mas"
"Linked to account: %s", "Cuenta vinculada: %s"

"Not logged in", ""
"Create an account to back up", ""
"and load your data from the cloud", ""

"Log in", ""
"Register", ""
"Register Account", ""
"Username: (shown to other players)", ""
"Password:", ""
"Confirm Password:", ""
"Verify Email:", ""
"Username", ""
"Password", ""
"Corfirm Password", ""
"Too short. Minimum 3 characters", ""
"Too short. Minimum 6 characters", ""
"Password do not match", ""
"Email is invalid", ""
"Email do not match", ""
"Username is already in use", ""
"Login", ""
"Forgot Username", ""
"Forgot Password", ""
"Login failed", ""
"Create", ""
"Thank you for registering.", ""
"A confirmation email has been sent to your inbox <cy>cherrywcode@gmail.com</c>.", ""
"Please <cg>activate</c> your account.", ""
"Login Success", ""
"Thank you for logging in.", ""
"You have now linked your account:", ""

/// Popup Account
"Save Data", "Guardar Datos"
"Do you want to <cg>save</c> your account data \on the <cl>cloud</c>?\<cy>This will overwrite previously saved data.</c>", "Quieres <cg>guardar</c> la informacion de tu cuenta en la <cl>nube</c>?\<cy>Esto remplazara los datos anteriores guardada.</c>"
"Sync failed. Please try again later.", "Sincronizacion Fallada\Intentalo mas tarde."
"Load Data", "Cargar Datos"
"Do you want to <cg>download</c> your account data from the <cl>cloud</c>?\<cy>This will merge current data with the saved data.</c>", "Quieres <cg>cargar</c> los datos de tu cuenta que esta en la <cl>nube</c>?\<cy>Esto remplazara tus datos actuales.</c>"
"Backup failed. Please try again later.\%s", "Respaldo fallada. Intentalo mas tarde.\%s"
"Account Help", "Ayuda con la Cuenta"
"Refresh Login", "Recargar Sesion"
"Manage Account", "Administrar cuenta"
"Manage", "Administrar"
"Open the account management page?", "Abrir el navegador para administrar tu cuenta?"
"Unlink Account", "Cerrar sesion"
"Are you sure you want to <cg>unlink</c> from the account <cl>%s</c>?\<cy>Unlinking will delete all data from this device.</c>", "Estas seguro de querer <cg>cerrar sesion</c> de la cuenta <cl>%s<c/>?\<cy>Cerrar sesion eliminara todos los datos en este dispositivo.</c>"
"Unlink", "Desvincular"
// Falta mas...

//// How to Play
"<cg>Hold</c> down to keep jumping.", "<cg>Manten presionado</c> para seguir saltando."
"<cg>Tap</c> the screen to jump.", "<cg>Toca</c> la pantalla para saltar."
"<cg>Hold</c> to fly up.", "<cg>Presiona</c> para volar hacia arriba."
"<cg>Release</c> to fly down.", "<cg>Suelte</c> para volar hacia abajo."
"You can enter <cl>practice mode</c> from the pause menu.", "Puede ingresar al <cl>modo de practica</c> desde el menu de pausa."
"Practice mode lets you place <cg>checkpoints</c>.", "El modo de practica te permite colocar <cg>puntos de control</c>."
"You can place checkpoints manually, or use the auto-checkpoint feature.", "Puedes colocar puntos de control manualmente o utilizar la funcion de puntos de control automaticos."
"Tap the delete button to remove your last checkpoint.", "Toque el boton Eliminar para eliminar su ultimo punto de control."
"<cy>Jump Orbs</c> activate when you are on top of them.", "Los <cy>Orbes de salto</c> se activa cuando estas encima de ellos."
"<cg>Tap</c> while touching an orb to interact with it and use its effect.", "<cg>Toca</c> mientras tocas un orbe para interactuar con el y usar su efecto."
"Next", "Siguiente"
"Exit", "Salir"

/// Opciones
"Settings", "Ajustes"
"Keys", "Teclas"
"Gameplay", "Jugabilidad"
"Auto-Retry", "Reintento\Automatico"
"Enable Faster Reset", "Activar Reinicio Rapido"
"Show Cursor In-Game", "Mostrar Cursor En-Juego"
"Performance", "Rendimiento"
"Music Offset (MS)", "Desfase de la\musica (MS)\\\"
"Offset", "Compensar"
"DEBUG", "DEPURAR"
"Change Custom Songs\Location", "Cambiar Localizacion De\Canciones Personalizadas"
"Disable Song Alert", "Desactivar alerta de\cancion"
"Other", "Otro"
"Parental Control", "Control Parental"
"Disable Comments", "Desactivar comentarios\en los niveles"
"Disable Account\Comments", "Desactivar comentarios\de las cuentas"
"Only Allow\Featured Levels", "Mostrar solo\niveles destacados"

/// Graficos
"Video Options", "Opciones de Video"
"Advanced", "Avanzado"
"Fullscreen", "Pantalla completa"
"Borderless", "Sin bordes"
"Windowed Resolution", "Resolucion de Ventana"
"Texture Quality", "Calidad de Texturas"
"Auto", "Automatico"
"Low", "Bajo"
"Medium", "Medio"
"High", "Alto"
"Back", "Atras"
"Apply", "Aplicar"
"Advanced Video Options", "Opciones de Video Avanzadas"
"Vertical Sync", "Sincronizacion Vertical"
"Smooth Fix", "Ralentizacion Suave"
"Show FPS", "Mostrar FPS"
"Unlock FPS", "Desbloquear FPS"
"Disable Shake", "Desactivar Agitacion"

//// Songs
"Soundtracks", "Banda sonora"
"View", "Ver"
"By %s", "De %s"
"Download Soundtrack", "Descargar Banda sonora"
"More By %s", "Mas De %s"

///Help
"Support", "Soporte"
"Links", "Enlaces"
"Contact", "Contacto"
"Privacy", "Privacidad"
"ToS", "Terminos de Uso"
"FMOD Studio by Firelight Technologies Pty Ltd.", "FMOD Studio de Firelight Technologies Pty Ltd."
"Low Detail Mode", "Modo de detalles bajos"
"Req", "Pedir"
"Failed. Nothing found.", "Cancelado. No se encontro."
"Send Email", "Enviar Correo"
"Support Links", "Enlaces de Soporte"
"FAQ", "Preguntas frecuentes"
"Editor Guide", "Guia del Editor (Ingles)"
"Rating System", "Sistema de Valoracion (Ingles)"
"Leaderboards", "Tabla de Clasificacion (Ingles)"
"Editor Guide (Spanish)", "Guia del Editor"
"Rating System (Spanish)", "Sistema de Valoracion"
"Leaderboards (Spanish)", "Tabla de Clasificacion"
"Editor Guide (Russian)", "Guia del Editor (Ruso)"
"Rating System (Russian)", "Sistema de Valoracion (Ruso)"
"Leaderboards (Russian)", "Tabla de Clasificacion (Ruso)"
"SFX Library Credits", "Creditos de la Libreria de Efectos"
"Loading...", "Cargando..."

"<cj>Leaderboard</c>: %i%%", "<cj>Tablas de Clasificacion</c>: %i%%"
"Level Leaderboards", "Tablas de clasificacion de Niveles"
" Leaderboard", " Tablas de Clasificacion"
"Audio Assets", "Recursos de audio"

///// More Games
"Nothing here yet... sorry :(", "Aun no hay nada aqui.. Disculpa :("

[GarageLayer]
"Col1", "Color 1"
"Col2", "Color 2"
"Glow", "Brillo"
"Main Color %i", "Color Principal %i"
"Secondary Color %i", "Color Secundario %i"

"Cube", "Cubo"
"Ship", "Nave"
"Ball", "Bola"
"UFO", "OVNI"
"Wave", "Ola"
"Robot", "Robot"
